점포명,유형,위치,위도,경도
영흥수협회센터 골목형상점가,상점가,옹진군 영흥면 내리8-165외1필지,37.25420496,126.4965421
홈플러스 인천송도점,대형마트,인천광역시 연수구 송도국제대로 165(송도동),37.38022552,126.6563722
트리플 스트리트,상점가,인천광역시 연수구 송도과학로16번길 33-1 (송도동),37.38069572,126.6587837
현대프리미엄 아울렛 송도점,백화점,인천광역시 연수구 송도국제대로 123 (송도동),37.3816291,126.657917
송도 트리플타워 골목형상점가,상점가,연수구 송도과학로28번길 8,37.38244307,126.6606341
송도 타임스페이스 골목형상점가,상점가,연수구 하모니로 158,37.3832947,126.642256
롯데마트 송도점,대형마트,인천광역시 연수구 컨벤시아대로 177 (송도동),37.38831435,126.6433241
인천스타트업파크,상점가,인천광역시 연수구 컨벤시아대로 204 (송도동),37.38853976,126.6399575
코스트코 홀세일 송도점,대형마트,인천광역시 연수구 컨벤시아대로230번길 60 (송도동),37.38965395,126.633298
이리옴프라자 골목형상점가,상점가,연수구 신송로125번길 7,37.39494769,126.6515584
(주)천성세이브마트논현점,준대규모 점포,"인천광역시 남동구 논고개로 61, 지하1층 B01호 (논현동, 라피에스타)",37.39753735,126.7275204
소래포구전통어시장,전통시장,남동구 장도로 86-17,37.39792768,126.7393127
이마트에브리데이 인천논현점,준대규모 점포,"인천광역시 남동구 앵고개로847번길 56, 미르프라자 1층 101호~106호 (논현동)",37.3985348,126.7252319
소래포구종합어시장,기타,"인천광역시 남동구 소래역로 12 (논현동, 소래포구종합어시장)",37.39873702,126.7371747
소래포구종합어시장,전통시장,남동구 소래역로 12,37.39873702,126.7371747
커낼워크 골목형상점가,상점가,연수구 아트센터대로 402동 141호,37.3992832,126.6370617
뉴코아 아울렛 (인천논현점),전문점,인천광역시 남동구 청능대로 596 (논현동),37.40062136,126.7256485
홈플러스(논현점),대형마트,인천광역시 남동구 청능대로 596 (논현동),37.40062136,126.7256485
홈플러스(주)인천논현점,대형마트,"인천광역시 남동구 청능대로 596, 지하1층 (논현동, 푸르지오시티 홈플러스 인천논현점)",37.40062136,126.7256485
(주)리더스엠식자재,식자재마트,"인천광역시 남동구 논현로46번길 14, 리더스프라자 1층 105,106,107,108,109,110,111호 (논현동)",37.40180627,126.7106753
이조식자재마트,준대규모 점포,"인천광역시 남동구 소래역로46번길 31, 2층 일부, 3층 일부호 (논현동)",37.40202546,126.7356763
웰빙마트,준대규모 점포,"인천광역시 남동구 논현로 20, 1층 (논현동)",37.40317996,126.7087294
이마트 연수점,준대규모 점포,인천광역시 연수구 경원대로 184 (동춘동),37.4042186,126.6811196
(주)논현빅마트,식자재마트,"인천광역시 남동구 청능대로718번길 31, 1층 전부호 (논현동)",37.40554215,126.7362082
스퀘어 원,쇼핑센터,인천광역시 연수구 청능대로 210 (동춘동),37.40599816,126.6836221
홈플러스 인천연수점,대형마트,인천광역시 연수구 청능대로 210 (동춘동),37.40599816,126.6836221
남동산업용품상가,전통시장,"남동구 은청로 4-7, 4-19",37.40708658,126.6935364
남동후생시설,기타,"인천광역시 남동구 남동대로239번길 68 (논현동, 후생시설상가)",37.40831236,126.695822
공단공구상가,기타,"인천광역시 남동구 남동서로 226 (논현동, 공단공구상가)",37.40967173,126.694008
더 테라스 골목형상점가,상점가,연수구 센트럴로 415,37.41087643,126.6269414
에이스식자재마트,준대규모 점포,"인천광역시 남동구 남동대로370번길 131, 1층 (논현동)",37.4132968,126.7129819
송도랜드마크시티 센트럴더샵 골목형상점가,상점가,"연수구 랜드마크로 68, 판매시설동(송도동)",37.41511724,126.6182221
롯데마트 연수점,대형마트,인천광역시 연수구 청능대로 87 (청학동),37.41512236,126.6751703
청학동골목형상점가,상점가,연수구 용담로 71 일원,37.41781036,126.6745822
엘에프네트웍스 연수점,준대규모 점포,인천광역시 연수구 청능대로23번길 11 (청학동),37.41866177,126.6689811
동양홈마트,준대규모 점포,"인천광역시 남동구 서창남로 16-13, 1층 (서창동)",37.4217998,126.7525718
노브랜드인천서창점,준대규모 점포,"인천광역시 남동구 서창남순환로10번길 50, 1층 107호~114호 (서창동, 코아프라자)",37.42326102,126.7516487
선학동 음식특화거리,상점가,학나래로6번길 일원,37.42453709,126.6977013
옥련전통시장,전통시장,연수구 독배로40번길 35(옥련동),37.42462185,126.64683
이마트에브리데이 서창2호점,준대규모 점포,"인천광역시 남동구 서창남순환로215번길 20 (서창동, 1층 101호, 2층 201호)",37.4253061,126.7480096
(주)와식자재마트,준대규모 점포,"인천광역시 남동구 서창남순환로215번길 51, 1층,2층,4층 일부호 (서창동)",37.4262026,126.7467804
연수송도역전시장,전통시장,연수구 한나루로 202-6(옥련동),37.42714059,126.6576577
이마트에브리데이 서창동점,준대규모 점포,"인천광역시 남동구 독곡로 51, 주건축물제1동 1층 (서창동)",37.43448793,126.7495963
이유푸드(주),식육판매업,"인천광역시 중구 축항대로290번길 155, 이유푸드(주) (신흥동3가)",37.43559111,126.6199527
(주)삼양사 인천2공장,식육판매업,"인천광역시 중구 축항대로290번길 121, 삼양사인천공장 (신흥동3가)",37.43691698,126.6220993
(주)서진푸드,식육판매업,"인천광역시 중구 서해대로93번길 14-16, 1층 일부 및 3층 (항동7가)",37.43851425,126.6162686
홈플러스익스프레스 학익점,준대규모 점포,인천광역시 미추홀구 매소홀로 488번길 6-32,37.43889382,126.675113
롯데프레시 서창점,준대규모 점포,"인천광역시 남동구 장아산로128번길 21, 1층 (서창동)",37.43909234,126.7485603
㈜이마트트레이더스 구월점,대형마트,인천광역시 남동구 구월동 1549,37.43961637,126.7078125
스타오씨엘 에비뉴I,그밖의 대규모점포,인천광역시 미추홀구 학익동 587-10,37.44215726,126.6463532
지에스슈퍼 학익점,준대규모 점포,인천광역시 미추홀구 소성로 146,37.44216529,126.6641795
롯데쇼핑(주) 인천터미널점,백화점,인천광역시 미추홀구 연남로 35,37.44250623,126.7015187
에덴마트(선수촌점),준대규모 점포,"인천광역시 남동구 선수촌로 45, 1층 (구월동)",37.44332625,126.7143961
학익시장,전통시장,미추홀구 한나루로 400,37.44355035,126.6649498
구월도매전통시장,전통시장,남동구 인하로 521번길 10-15,37.44365361,126.7056285
진로할인마트(주),준대규모 점포,"인천광역시 남동구 담방로 45, 지하1층 (만수동)",37.44369991,126.7384945
뉴코아 아울렛 (인천점),전문점,"인천광역시 남동구 인하로 485 (구월동, 뉴코아아울렛인천점)",37.44401577,126.7006916
주식회사 이랜드킴스클럽 인천점,대형마트,인천광역시 남동구 인하로 485 (구월동),37.44401577,126.7006916
디앤더블유푸드(주),식육판매업,"인천광역시 중구 축항대로296번길 56-43, 2층 (신흥동3가)",37.44409995,126.6262426
남동농협하나로마트,준대규모 점포,"인천광역시 남동구 장승로 28, 지하1층 (만수동)",37.44532597,126.7352625
신기시장,전통시장,미추홀구 미추홀대로 547(주안동),37.44621581,126.6786452
노브랜드 장승백이시장점,준대규모 점포,"인천광역시 남동구 인주대로888번길 27, 창대장터상가 지하층 B01A~B06호 (만수동)",37.44692236,126.7357351
장승백이전통시장,전통시장,남동구 인주대로888번길 27,37.44692236,126.7357351
구월문화로상점가,상점가,남동구 문화로  89번길 일원,37.44718619,126.6976625
홈플러스 인하점,대형마트,인천광역시 미추홀구 소성로 6,37.44723486,126.6508832
남부종합시장,전통시장,미추홀구 인하로 274-30,37.44737537,126.6783959
홈플러스익스프레스 주안2점,준대규모 점포,인천광역시 미추홀구 인하로 352번길 4,37.44791619,126.6872055
구월골목형상점가,상점가,남동구 문화서로 23번길 일원,37.44826812,126.6946107
항동정육점,식육판매업,"인천광역시 중구 축항대로 234 (항동7가, 연안아파트)",37.44842038,126.6200554
늘목쌈밥,식육판매업,인천광역시 중구 용유서로 158 (을왕동),37.44860655,126.3899777
즐거운마트인향점,준대규모 점포,"인천광역시 남동구 인주대로 670, 지하1층 104,105호 (구월동, 인향콤비타워)",37.44909874,126.7113808
롯데슈퍼 인하대점,준대규모 점포,인천광역시 미추홀구 인하로 107,37.45048081,126.6601181
토지금고시장,전통시장,미추홀구 낙섬중로 32번길 21(용현동),37.45103256,126.6384285
홈플러스(구월점),대형마트,"인천광역시 남동구 예술로 198 (구월동, CGV홈플러스)",37.45173529,126.7019485
홈플러스(주),대형마트,"인천광역시 남동구 예술로 198, 지하2층 (구월동, 홈플러스구월점)",37.45173529,126.7019485
(주)씨에버상사,식육판매업,인천광역시 중구 연안부두로81번길 20 (항동7가),37.45175279,126.6000494
용남시장,전통시장,미추홀구 인주대로 266번길 17-1,37.45189805,126.6658494
인하문화거리 골목형상점가,상점가,"미추홀구 경인남길 30번길 43, 2층",37.45203236,126.6568451
제일미트축산 주식회사,식육판매업,"인천광역시 중구 연안부두로91번길 5, 지하1층,106,107,108,207,208,210호 (항동7가)",37.45211683,126.5982522
현대프라자,그밖의 대규모점포,인천광역시 미추홀구 미추홀대로614번길17,37.45214516,126.6809653
주식회사 맛있는날,식육판매업,"인천광역시 중구 연안부두로75번길 8-1, 202호 (항동7가)",37.45245373,126.5991562
(주)아주유통,준대규모 점포,"인천광역시 남동구 구월로276번길 67, 지하1,2층 (구월동)",37.45250624,126.7212422
영마트,준대규모 점포,"인천광역시 남동구 구월남로 206, 1,2층 (구월동, 주건축물제1동)",37.4525395,126.7122979
구월시장,전통시장,남동구 호구포로790번길 21-13,37.45336936,126.7202675
GS더프레쉬 인천주안점,준대규모 점포,인천광역시 미추홀구 남주길 150,37.45343014,126.6768057
신세계 고기장터,식육판매업,인천광역시 중구 연안부두로33번길 36 (항동7가),37.45357058,126.6057624
인천종합어시장,전통시장,중구 연안부두로 33번길 37(항동7가),37.4536793,126.6068876
진로할인마트,준대규모 점포,"인천광역시 남동구 구월로276번길 39 (구월동, 1층)",37.45383617,126.7213345
(주)리팡,식자재마트,"인천광역시 남동구 남동대로799번길 8, 신영구월지웰시티푸르지오 B동 지하1층 001호 (구월동)",37.45405923,126.707707
미소이마트,준대규모 점포,"인천광역시 남동구 구월남로53번길 10-6, 지1층 b01호 (구월동, 대성파크빌D동)",37.4540651,126.6956816
인천모래내전통시장,전통시장,남동구 호구포로810번길 42-8,37.45420055,126.7214912
신개념토종한우직판장,식육판매업,인천광역시 중구 연안부두로33번길 16 (항동7가),37.4542812,126.6038477
항동닭공판장,식육판매업,인천광역시 중구 축항대로86번길 23 (항동7가),37.4543583,126.6059697
