수동 item_key 매핑 목록 (gds_sclsf_nm → item_key)
========================================
※ KAT 소분류가 품종명으로 기재돼 품목 대표명을 추론할 수 없는 경우 수동 정의
※ 신규 품종명 소분류 발견 시 price_merge.py의 _ITEM_KEY_MAP에 추가 필요

gds_sclsf_nm       → item_key
----------------------------------------
미얀마                → 사과
신고                 → 배
그린황도               → 복숭아
설향                 → 딸기
네트계                → 멜론
금싸라기               → 참외
대추방울               → 방울토마토
진지향                → 만감
홍자두                → 자두
팽이1호               → 팽이버섯
취청                 → 오이
청양                 → 풋고추
밤고구마               → 고구마
곡실옥수수              → 옥수수
녹색                 → 아스파라거스
