auctn_seq,corp_cd,corp_gds_cd,corp_gds_item_nm,corp_gds_vrty_nm,corp_nm,gds_lclsf_cd,gds_lclsf_nm,gds_mclsf_cd,gds_mclsf_nm,gds_sclsf_cd,gds_sclsf_nm,mdfcn_dt,pkg_cd,pkg_nm,plor_cd,plor_nm,qty,scsbd_dt,scsbd_prc,spm_no,trd_clcln_ymd,trd_se,unit_cd,unit_nm,unit_qty,whsl_mrkt_cd,whsl_mrkt_nm
10,23000303,002001011012,참다래(키위),키위(수입),인천원협삼산(공),06,과실류,11,참다래(키위),01,참다래(키위) (일반),2026-05-18 11:44:38,101,상자,800NZ,뉴질랜드,1.000,2026-05-18 10:58:15,22500.000,706,2026-05-18,경매,12,kg,5.800,230003,인천삼산
30,23000303,002002005999,은행,은행(기타),인천원협삼산(공),07,수실류,05,은행,01,은행(일반),2026-05-18 10:45:26,101,상자,540000,전라남도 순천시,1.000,2026-05-18 09:48:54,58240.000,1833,2026-05-18,경매,12,kg,4.000,230003,인천삼산
20,23000303,002002001999,밤,밤(기타),인천원협삼산(공),07,수실류,01,밤,01,밤(일반),2026-05-18 10:45:26,101,상자,540000,전라남도 순천시,1.000,2026-05-18 09:48:54,99840.000,1833,2026-05-18,경매,12,kg,3.000,230003,인천삼산
10,23000303,002002001999,밤,밤(기타),인천원협삼산(공),07,수실류,01,밤,01,밤(일반),2026-05-18 10:45:26,101,상자,540000,전라남도 순천시,1.000,2026-05-18 09:48:54,21840.000,1833,2026-05-18,경매,12,kg,1.000,230003,인천삼산
10,23000303,003003016001,콩나물,콩나물(일반),인천원협삼산(공),10,엽경채류,16,콩나물,01,콩나물(일반),2026-05-18 10:45:26,101,상자,403403,-,20.000,2026-05-18 09:47:39,3000.000,1828,2026-05-18,경매,12,kg,3.500,230003,인천삼산
20,23000303,003005009027,마늘,마늘쫑(기타),인천원협삼산(공),12,조미채소류,09,마늘,07,마늘쫑,2026-05-18 10:45:26,101,상자,403403,-,3.000,2026-05-18 09:47:26,20000.000,1827,2026-05-18,경매,12,kg,8.000,230003,인천삼산
10,23000303,003004005007,우엉,우엉채(수입),인천원협삼산(공),11,근채류,04,우엉,98,우엉채(수입),2026-05-18 10:45:26,101,상자,403403,-,1.000,2026-05-18 09:47:26,22000.000,1827,2026-05-18,경매,12,kg,8.000,230003,인천삼산
20,23000303,041005002002,다시마,다시마,인천원협삼산(공),76,신선 해조류,03,다시마,02,참다시마,2026-05-18 10:45:26,101,상자,548000,전라남도 고흥군,4.000,2026-05-18 09:47:04,10000.000,1826,2026-05-18,경매,12,kg,8.000,230003,인천삼산
10,23000303,003999999008,기타채소,기타묵류,인천원협삼산(공),91,농림가공,06,전분 및 사료제조,51,도토리묵,2026-05-18 10:45:26,101,상자,404000,인천광역시 서구,7.000,2026-05-18 09:42:25,12500.000,1832,2026-05-18,경매,12,kg,4.800,230003,인천삼산
60,23000303,002003002999,참외,참외(기타),인천원협삼산(공),08,과일과채류,02,참외,03,노랑참외,2026-05-18 09:45:30,101,상자,718000,경상북도 칠곡군,6.000,2026-05-18 08:45:20,27000.000,717,2026-05-18,경매,12,kg,10.000,230003,인천삼산
